OpenTime,Open,High,Low,Close,Volume,CloseTime,QuoteAssetVolume,NumberOfTrades,BuyBaseAssetVolume,BuyQuoteAssetVolume,Ignore,RSI,MACD,MACDSign,MACDHist,Change
1503756000000,4258.53,4275,4242.04,4275,9.529892,1503763199999,40651.83794697,131,4.067548,17373.53498176,11875.93875457,51,19.7,21.43,-1.73,13.11
1503763200000,4275,4275,4212.41,4255.19,19.39829,1503770399999,82313.16798355,194,3.108049,13251.86713738,11975.41869992,48.53,15.61,17.55,-1.94,-19.81
1503770400000,4255.19,4351.32,4236.51,4293.52,28.032818,1503777599999,120220.54821163,356,13.01144,55785.55994433,11806.5876955,53.26,15.1,15.92,-0.82,38.33
1503777600000,4293.52,4345,4279,4313.98,22.912371,1503784799999,98847.25835801,241,4.987535,21572.50169509,11763.54549551,55.6,16.06,16.01,0.05,20.46
1503784800000,4323.06,4367,4288.09,4337.44,16.610668,1503791999999,71793.26619117,174,4.055097,17558.12472525,11789.06750167,58.19,18.39,17.6,0.79,23.46
1503792000000,4332.51,4383.03,4315.52,4379.32,37.953153,1503799199999,165090.04805289,411,11.734488,51076.29228131,11803.23748025,62.41,23.16,21.31,1.85,41.88
1503799200000,4379.5,4400,4314.91,4314.91,25.027235,1503806399999,109129.25194237,320,6.46796,28316.71383479,11842.49700032,53.48,21.82,21.65,0.17,-64.41
1503806400000,4329.19,4370.85,4293.42,4320.52,25.866915,1503813599999,111898.72535832,331,3.693311,15997.84198417,11776.53357083,54.09,20.94,21.17,-0.24,5.61
1503813600000,4314.9,4344.9,4298.75,4313.84,21.611284,1503820799999,93604.68324513,169,4.23728,18372.77826358,11820.03940011,53.19,19.51,20.06,-0.55,-6.68
1503820800000,4331.29,4352.34,4302.11,4320.81,28.985551,1503827999999,125447.49611395,413,14.317224,62080.0177134,11739.28393487,54.05,18.69,19.15,-0.46,6.97
1503828000000,4330,4344.99,4285.56,4323.37,28.153131,1503835199999,121363.35096433,450,6.04057,26116.50300462,11799.34253665,54.38,18.03,18.4,-0.37,2.56
1503835200000,4340,4340,4285.54,4312.69,22.898849,1503842399999,98913.56732928,260,4.388516,18981.21672465,11548.99499338,52.67,16.5,17.13,-0.63,-10.68
1503842400000,4312.69,4335,4295.28,4325,12.378575,1503849599999,53356.41229791,188,2.174319,9405.03378811,11566.04001797,54.45,16.04,16.4,-0.36,12.31
1503849600000,4290.01,4370.92,4290.01,4340,31.962203,1503856799999,138959.31449959,341,16.45529,71586.54890968,11484.32128639,56.59,16.62,16.55,0.07,15
1503856800000,4369,4386.78,4327.62,4368.41,40.149057,1503863999999,174646.36664819,247,13.876494,60591.02869351,11467.32234578,60.39,19.02,18.2,0.82,28.41
1503864000000,4336.12,4386.79,4336.09,4370,45.983418,1503871199999,200398.96615799,355,12.75319,55890.68815508,11466.95380036,60.6,20.82,19.94,0.87,1.59
1503871200000,4350,4371.42,4309.6,4310.01,29.723214,1503878399999,128771.87941562,185,5.512716,24027.51601925,11456.95307303,49.95,17.49,18.31,-0.82,-59.99
1503878400000,4310.01,4326.99,4265.45,4280.04,56.347785,1503885599999,241846.92387243,454,7.947071,34209.4265393,11421.55030357,45.64,12.43,14.39,-1.96,-29.97
1503885600000,4280.04,4330.36,4239.36,4239.37,16.94757,1503892799999,72532.34253163,175,4.548531,19640.02108839,11322.97789883,40.52,5.27,8.31,-3.04,-40.67
1503892800000,4239.36,4252.76,4124.54,4169.01,60.844472,1503899999999,254061.27515639,625,27.106074,113566.65097315,11322.01967324,33.52,-5.7,-1.03,-4.67,-70.36
1503900000000,4223.8,4297.11,4199.01,4261.9,33.552726,1503907199999,142525.07423349,288,20.507925,87291.90012413,11328.58336042,46.63,-7.3,-5.21,-2.09,92.89
1503907200000,4261.9,4305,4226.93,4227,40.836119,1503914399999,174125.20590197,279,16.951786,72665.05654889,11262.91752069,43.18,-11.09,-9.13,-1.96,-34.9
1503914400000,4240,4365.4,4240,4308,80.885915,1503921599999,347359.67446115,391,21.289832,92129.27232205,11229.41089191,52.04,-7.87,-8.29,0.42,81
1503921600000,4309,4347,4271.86,4347,54.459152,1503928799999,234631.01716515,394,16.909053,73177.35834947,11183.43275934,55.63,-2.32,-4.31,1.99,39
